seed,scenario,bf_safe,cce_safe,matched_safety,bf_margin,cce_margin,bf_cost,cce_cost,bf_eval_count,cce_eval_count,compression_ratio,bf_latency_ms,cce_latency_ms,delta_n,delta_d,severity,risk_level,selected_k,selected_total,false_pruning_proxy
1,hard_brake,1,1,1,0.4040107003915505,0.4040107003915505,37.066058517709564,37.066058517709564,121,23,5.260869565217392,5.75830000161659,3.2124999997904524,0.5280499519622313,0.8585040154040133,0.6205770897259302,high,23,23,0
2,hard_brake,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,4.015099999378435,3.319399998872541,0.4800688005636402,0.7712983277019921,0.5616130681623788,medium,24,26,0
3,hard_brake,0,0,1,0.0,0.0,15050.028,15050.028,121,24,5.041666666666667,4.424500002642162,2.969000008306466,0.5352207857367843,0.7272283877421095,0.5889829142982754,high,24,24,0
4,hard_brake,1,1,1,0.3601449801900998,0.3601449801900998,41.54456595770565,41.54456595770565,121,26,4.653846153846154,4.130900008021854,3.095799998845905,0.5309773086944722,0.4638514331194736,0.5121820635334726,medium,24,26,0
5,hard_brake,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,4.957800003467128,3.5180999984731898,0.42037427944664313,0.8188726707408063,0.5319538290090089,medium,24,26,0
6,hard_brake,1,1,1,1.85,1.85,8.193727714748784,8.193727714748784,121,26,4.653846153846154,4.129499997361563,2.976400006446056,0.45965422951482954,0.7679981417073379,0.5459905249287319,medium,24,26,0
7,hard_brake,1,1,1,0.26433419123699275,0.26433419123699275,56.592480529816875,56.592480529816875,121,26,4.653846153846154,4.660799997509457,3.1119000050239265,0.5219511064295841,0.464991007251999,0.5060022786598602,medium,24,26,0
8,hard_brake,1,1,1,0.6450259397609615,0.6450259397609615,23.318881900547535,23.318881900547535,121,22,5.5,5.149599994183518,3.1802000012248755,0.5774042768423471,0.9443730811315214,0.6801555420433159,high,22,22,0
9,hard_brake,1,1,1,1.85,1.85,8.113727714748784,8.113727714748784,121,26,4.653846153846154,4.601199994795024,3.1464999919990078,0.41606399367595825,0.5635217598092962,0.45735216819329294,medium,24,26,0
10,hard_brake,1,1,1,1.85,1.85,8.163727714748784,8.163727714748784,121,26,4.653846153846154,4.062199994223192,3.065299999434501,0.44815432918535936,0.5591082636365453,0.47922143083169144,medium,24,26,0
11,hard_brake,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,5.996100007905625,5.517699988558888,0.43705921693706967,0.5794698857735943,0.47693420421129656,medium,24,26,0
12,hard_brake,1,1,1,1.85,1.85,8.193727714748784,8.193727714748784,121,26,4.653846153846154,5.811499999254011,5.056800000602379,0.4588764702084577,0.6656239616058743,0.5167657677997344,medium,24,26,0
13,hard_brake,1,1,1,0.8303247725962799,0.8303247725962799,18.14348973404708,18.14348973404708,121,26,4.653846153846154,7.182200002716854,6.263000002945773,0.5145638276807477,0.7104753395703443,0.5694190510098347,medium,24,26,0
14,hard_brake,1,1,1,0.22341770661531823,0.22341770661531823,66.84964570456998,66.84964570456998,121,26,4.653846153846154,5.716500003472902,4.332399999839254,0.5099958623674332,0.7284462083614799,0.5711619592457663,medium,24,26,0
15,hard_brake,1,1,1,1.85,1.85,8.113727714748784,8.113727714748784,121,26,4.653846153846154,7.928699997137301,4.672800001571886,0.43327751340194554,0.46950227234228753,0.4434204459052413,medium,24,26,0
16,hard_brake,0,0,1,0.0,0.0,15050.028,15050.028,121,24,5.041666666666667,4.568000003928319,8.337199993547983,0.5291472836529432,0.7236527955455565,0.5836088269828749,high,24,24,0
17,hard_brake,1,1,1,1.85,1.85,8.133727714748783,8.133727714748783,121,26,4.653846153846154,6.2811999960104,3.7072999984957278,0.45368575545528744,0.7694457647886372,0.5420985580686254,medium,24,26,0
18,hard_brake,1,1,1,0.04110149244934114,0.04110149244934114,356.38190658677564,356.38190658677564,121,22,5.5,4.437699986738153,5.61300000117626,0.5625414363533132,0.9002426436409517,0.657097774393852,high,22,22,0
19,hard_brake,1,1,1,1.85,1.85,8.133727714748783,8.133727714748783,121,26,4.653846153846154,4.867399999056943,3.508900001179427,0.44492075529323805,0.7590411556315633,0.5328744673879691,medium,24,26,0
20,hard_brake,1,1,1,1.85,1.85,8.103727714748784,8.103727714748784,121,26,4.653846153846154,7.634699999471195,4.807200006325729,0.42056831292450764,0.8188955229278646,0.5320999317254476,medium,24,26,0
21,hard_brake,1,1,1,0.6804128940522229,0.6804128940522229,22.07308506329851,22.07308506329851,121,26,4.653846153846154,5.495700010214932,6.299000000581145,0.5224133638736592,0.7184418937563938,0.5773013522408249,medium,24,26,0
22,hard_brake,1,1,1,1.85,1.85,8.113727714748784,8.113727714748784,121,26,4.653846153846154,5.9464000078151,4.392100003315136,0.40363254882653277,0.41529945272939567,0.4068992819193344,medium,24,26,0
23,hard_brake,1,1,1,1.0775620648728064,1.0775620648728064,13.997405506394234,13.997405506394234,121,26,4.653846153846154,7.480399988708086,4.461999997147359,0.46875454963755026,0.7737275177273699,0.5541469807026997,medium,24,26,0
24,hard_brake,1,1,1,1.85,1.85,8.133727714748783,8.133727714748783,121,26,4.653846153846154,5.769700001110323,6.371099996613339,0.42408328614517,0.7324785236175035,0.5104339526374234,medium,24,26,0
25,hard_brake,1,1,1,0.5717971868915503,0.5717971868915503,26.217279447725364,26.217279447725364,121,23,5.260869565217392,5.558700009714812,3.879600000800565,0.5268078674036072,0.8703297156245452,0.6229939849054699,high,23,23,0
26,hard_brake,1,1,1,1.85,1.85,8.133727714748783,8.133727714748783,121,26,4.653846153846154,6.78360000893008,4.373300005681813,0.41910182519374983,0.409257215151017,0.4163453343817846,medium,24,26,0
27,hard_brake,1,1,1,1.85,1.85,8.163727714748784,8.163727714748784,121,26,4.653846153846154,5.762200002209283,5.770299991127104,0.45686748627441076,0.6415153838202777,0.5085688975872535,medium,24,26,0
28,hard_brake,1,1,1,0.5382950226855168,0.5382950226855168,27.874089448303817,27.874089448303817,121,26,4.653846153846154,5.53819999913685,4.016000006231479,0.5169208777021749,0.4641722242939235,0.5021512547478645,medium,24,26,0
29,hard_brake,1,1,1,1.85,1.85,8.113727714748784,8.113727714748784,121,26,4.653846153846154,7.351899999775924,4.396100004669279,0.4386549654874557,0.5630592384275568,0.473488161910684,medium,24,26,0
30,hard_brake,1,1,1,1.85,1.85,8.163727714748784,8.163727714748784,121,26,4.653846153846154,6.045799993444234,6.03899999987334,0.42816661816868773,0.5195109681254073,0.4537430361565692,medium,24,26,0
