seed,scenario,bf_safe,cce_safe,matched_safety,bf_margin,cce_margin,bf_cost,cce_cost,bf_eval_count,cce_eval_count,compression_ratio,bf_latency_ms,cce_latency_ms,delta_n,delta_d,severity,risk_level,selected_k,selected_total,false_pruning_proxy
1,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.9721999928588048,2.9999999969732016,0.5509510589761977,0.4175443620006709,0.5135971838230502,medium,24,26,0
2,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,25,4.84,3.6091000074520707,2.526900003431365,0.5901510387269912,0.44248098985882156,0.5488034250439037,medium,23,25,0
3,ice_trap,0,0,1,0.0,0.0,15050.056,15250.116,121,20,6.05,3.0647999956272542,2.0899999944958836,0.9076119958041251,0.9396473015620375,0.9165818814163407,critical,20,20,0
4,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.540699995937757,2.490600003511645,0.5272668523951936,0.41677450846953346,0.4963289960960087,medium,24,26,0
5,ice_trap,0,0,1,0.0,0.0,15050.056,15250.116,121,20,6.05,3.065299999434501,2.0864999969489872,0.8907444325595261,0.9675024483901443,0.9122366769920993,critical,20,20,0
6,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,23,5.260869565217392,3.516299999319017,2.3575000086566433,0.6495647635020976,0.44813511230708264,0.5931644611674934,high,23,23,0
7,ice_trap,0,0,1,0.0,0.0,15050.056,15250.116,121,20,6.05,3.2675999973434955,2.35580001026392,0.8810723889755714,0.9602986241017158,0.9032557348108918,critical,20,20,0
8,ice_trap,1,1,1,0.054304414886269914,0.054304414886269914,271.28608621475456,271.28608621475456,121,26,4.653846153846154,3.879099996993318,2.7295000036247075,0.5203592838261826,0.4146675133046067,0.49076558808014137,medium,24,26,0
9,ice_trap,1,1,1,0.3800703911826262,0.3800703911826262,39.37280631368004,39.37280631368004,121,26,4.653846153846154,3.9278000040212646,2.8661000105785206,0.533238402008342,0.4162279435673294,0.5004754736448586,medium,24,26,0
10,ice_trap,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.894300010870211,2.744700002949685,0.570643511692015,0.422805274615718,0.5292488053106519,medium,24,26,0
