seed,scenario,bf_safe,cce_safe,matched_safety,bf_margin,cce_margin,bf_cost,cce_cost,bf_eval_count,cce_eval_count,compression_ratio,bf_latency_ms,cce_latency_ms,delta_n,delta_d,severity,risk_level,selected_k,selected_total,false_pruning_proxy
1,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,4.040900006657466,3.147100011119619,0.5481864553478872,0.4679262446231612,0.525713596344964,medium,24,26,0
2,obstacle,1,1,1,0.0043376153577567855,0.0043376153577567855,2810.3037127099356,2810.3037127099356,121,26,4.653846153846154,4.215599998133257,2.9366000089794397,0.5428726278710603,0.5789735805112537,0.5529808946103144,medium,24,26,0
3,obstacle,1,1,1,0.3102101114751368,0.3102101114751368,48.228948064058585,48.228948064058585,121,20,6.05,3.450100004556589,2.3082999978214502,0.7402150404728933,0.9309957677029607,0.7936336440973122,critical,20,20,0
4,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.529199995682575,2.9635999962920323,0.562344832023603,0.47778508521043406,0.5386681029159157,medium,24,26,0
5,obstacle,1,1,1,0.7396176642851784,0.7396176642851784,20.283365161736377,20.283365161736377,121,26,4.653846153846154,3.600600000936538,2.5304000009782612,0.5209455876233215,0.5529879329443935,0.5299174443132217,medium,24,26,0
6,obstacle,1,1,1,0.09250244914651962,0.09250244914651962,160.48360533781093,160.48360533781093,121,26,4.653846153846154,3.5195999953430146,2.474900000379421,0.5456143187269411,0.5639292564448302,0.5507425012879501,medium,24,26,0
7,obstacle,1,1,1,0.7361680288288768,0.7361680288288768,20.428142368341966,20.428142368341966,121,26,4.653846153846154,3.7330000050133094,3.805799991823733,0.5771220707105237,0.4810534548752974,0.5502228582766603,medium,24,26,0
8,obstacle,1,1,1,0.7588522433973526,0.7588522433973526,19.800680020807665,19.800680020807665,121,26,4.653846153846154,3.5586999874794856,2.475600005709566,0.6090813365743617,0.4816700676810778,0.5734061812842421,medium,24,26,0
9,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.5725000052480027,2.7812000043923035,0.5575643063047491,0.5465544434649416,0.554481544709603,medium,24,26,0
10,obstacle,1,1,1,0.6373010942261086,0.6373010942261086,23.509881381507512,23.509881381507512,121,26,4.653846153846154,3.9063999865902588,2.777400004561059,0.5248545721483662,0.547121563842675,0.5310893298227727,medium,24,26,0
11,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.8634000084130093,2.681400001165457,0.544619616739986,0.5442360169616146,0.5445122088020421,medium,24,26,0
12,obstacle,1,1,1,0.520785811210513,0.520785811210513,28.807427924881402,28.807427924881402,121,24,5.041666666666667,3.874700007145293,2.511200000299141,0.5865146102415629,0.6153742381386674,0.5945953060527522,high,24,24,0
13,obstacle,1,1,1,0.47384604926188345,0.47384604926188345,31.649185638832837,31.649185638832837,121,24,5.041666666666667,3.5330999962752685,2.4643000069772825,0.6193507972709039,0.4842440399399303,0.5815209052182313,high,24,24,0
14,obstacle,1,1,1,0.7651234902044348,0.7651234902044348,19.659089000387326,19.659089000387326,121,26,4.653846153846154,3.499799990095198,2.8526000096462667,0.5934685789536152,0.47758426301117274,0.5610209704897313,medium,24,26,0
15,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,20,6.05,3.631600004155189,2.4062000011326745,0.8814299658264417,0.9871970984218773,0.9110447629531637,critical,20,20,0
16,obstacle,1,1,1,0.39038724427410276,0.39038724427410276,38.33521427166122,38.33521427166122,121,26,4.653846153846154,3.867000006721355,2.701000004890375,0.5315802555945784,0.46929563900966753,0.5141405629508033,medium,24,26,0
17,obstacle,1,1,1,0.33583307712402766,0.33583307712402766,44.54244357137985,44.54244357137985,121,26,4.653846153846154,3.855300004943274,2.814899999066256,0.5337553898948761,0.5458797713381303,0.5371502166989873,medium,24,26,0
18,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.8364999927580357,2.4842000129865482,0.5444340948342186,0.46803516053545907,0.5230423932305659,medium,24,26,0
19,obstacle,1,1,1,0.8256213451303793,0.8256213451303793,18.206156143154175,18.206156143154175,121,26,4.653846153846154,3.8133000052766874,2.65279998711776,0.5172273564189668,0.5550883886664454,0.5278284454482608,medium,24,26,0
20,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.6411000037332997,2.494000000297092,0.5535257777585048,0.5787818705946872,0.5605974837526359,medium,24,26,0
21,obstacle,1,1,1,0.38048284634094953,0.38048284634094953,39.38024767004538,39.38024767004538,121,26,4.653846153846154,3.532699993229471,2.6633999950718135,0.5153535352627139,0.4653454322608653,0.5013512664221963,medium,24,26,0
22,obstacle,1,1,1,0.22724994792140762,0.22724994792140762,65.80743010940309,65.80743010940309,121,20,6.05,3.4002000029431656,2.4339000083273277,0.8806239094475501,0.995933254315094,0.9129105260104624,critical,20,20,0
23,obstacle,1,1,1,0.8335635933456147,0.8335635933456147,18.033465556851944,18.033465556851944,121,22,5.5,3.582100005587563,2.34840001212433,0.6015544097827186,0.922809816560977,0.6915059236806309,high,22,22,0
24,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,4.338499988080002,2.780399998300709,0.5431706193876209,0.5596755284057042,0.5477919939126843,medium,24,26,0
25,obstacle,1,1,1,0.12798482153738044,0.12798482153738044,116.302753063607,116.302753063607,121,26,4.653846153846154,3.7635000044247136,2.5883999915095046,0.5356178180872792,0.46975155078012687,0.5171752632412765,medium,24,26,0
26,obstacle,1,1,1,0.34692243903712416,0.34692243903712416,43.123057155820476,43.123057155820476,121,26,4.653846153846154,3.4916999866254628,2.715800001169555,0.5333263901106888,0.5599601355403122,0.5407838388309834,medium,24,26,0
27,obstacle,1,1,1,0.5883704998144061,0.5883704998144061,25.46088362027541,25.46088362027541,121,26,4.653846153846154,3.5462000087136403,2.5501999916741624,0.5276835418879839,0.5548140913966612,0.5352800957504136,medium,24,26,0
28,obstacle,0,0,1,0.0,0.0,15050.028,15050.028,121,26,4.653846153846154,3.597500006435439,2.4430999910691753,0.5448110029395079,0.46729406952604335,0.5231062615837379,medium,24,26,0
29,obstacle,1,1,1,0.9440095604841185,0.9440095604841185,15.932855288697457,15.932855288697457,121,23,5.260869565217392,3.5497000062605366,2.4357999936910346,0.5996229670327886,0.6800130561450358,0.6221321919842179,high,23,23,0
30,obstacle,1,1,1,0.5788947790832872,0.5788947790832872,25.896761593736695,25.896761593736695,121,21,5.761904761904762,3.5133000055793673,2.372499991906807,0.6353598174309845,0.8862940526641538,0.705621403296272,high,21,21,0
